white,black
8.179999999999997726e+02,1.298000000000000227e+03
1.484999999999999773e+03,1.879000000000000227e+03
9.409999999999997726e+02,1.559000000000000227e+03
9.969999999999996589e+02,1.307000000000000455e+03
1.177900000000000000e+04,2.356500000000000000e+04
1.719000000000000000e+03,2.377000000000000000e+03
1.050999999999999545e+03,1.449000000000000455e+03
1.436999999999999545e+03,1.699000000000000455e+03
1.885999999999999545e+03,2.470000000000000455e+03
8.469999999999997726e+02,7.530000000000002274e+02
3.397000000000000000e+03,3.999000000000000000e+03
3.140999999999999545e+03,3.583000000000000455e+03
1.179999999999999545e+03,1.320000000000000455e+03
1.572999999999999545e+03,3.611000000000000455e+03
1.292999999999999545e+03,1.623000000000000455e+03
1.677999999999999773e+03,1.922000000000000227e+03
1.510999999999999773e+03,1.405000000000000227e+03
1.079999999999999773e+03,2.056000000000000000e+03
9.749999999999998863e+02,9.610000000000001137e+02
8.409999999999997726e+02,1.275000000000000227e+03
1.457000000000000000e+03,2.143000000000000000e+03
1.233000000000000000e+03,2.367000000000000000e+03
1.332999999999999545e+03,1.803000000000000455e+03
1.736999999999999545e+03,3.163000000000000455e+03
1.016999999999999659e+03,1.483000000000000455e+03
9.709999999999997726e+02,9.650000000000002274e+02
1.245999999999999545e+03,1.058000000000000455e+03
1.347000000000000000e+03,1.789000000000000000e+03
1.329999999999999545e+03,1.586000000000000455e+03
1.166999999999999545e+03,1.333000000000000455e+03
9.719999999999997726e+02,1.144000000000000227e+03
1.108999999999999545e+03,1.595000000000000455e+03
3.509000000000000000e+03,4.591000000000000000e+03
1.169999999999999545e+03,1.330000000000000455e+03
1.713999999999999773e+03,2.130000000000000000e+03
1.946999999999999545e+03,2.409000000000000455e+03
1.755999999999999773e+03,1.844000000000000227e+03
9.179999999999997726e+02,1.386000000000000227e+03
1.610999999999999545e+03,2.233000000000000455e+03
1.184999999999999545e+03,1.731000000000000455e+03
1.170999999999999545e+03,1.329000000000000455e+03
1.129999999999999545e+03,1.174000000000000455e+03
6.769999999999997726e+02,6.190000000000002274e+02
8.719999999999997726e+02,1.244000000000000227e+03
1.250999999999999545e+03,1.453000000000000455e+03
7.720000000000000000e+02,8.280000000000000000e+02
8.129999999999998863e+02,1.123000000000000000e+03
9.779999999999997726e+02,1.138000000000000227e+03
1.702000000000000000e+03,2.142000000000000000e+03
1.039999999999999773e+03,1.460000000000000227e+03
1.415999999999999545e+03,2.184000000000000455e+03
1.830999999999999545e+03,3.353000000000000455e+03
1.057999999999999773e+03,1.058000000000000227e+03
8.560000000000000000e+02,1.080000000000000000e+03
8.950000000000000000e+02,1.041000000000000000e+03
1.379999999999999545e+03,1.756000000000000455e+03
8.370000000000000000e+02,7.630000000000000000e+02
1.136999999999999545e+03,1.363000000000000455e+03
9.249999999999996589e+02,1.191000000000000455e+03
1.349999999999999545e+03,1.566000000000000455e+03
1.369000000000000000e+03,1.767000000000000000e+03
1.458999999999999545e+03,1.677000000000000455e+03
2.173999999999999091e+03,2.726000000000000909e+03
1.193999999999999545e+03,1.110000000000000455e+03
1.319000000000000000e+03,1.597000000000000000e+03
9.049999999999997726e+02,1.211000000000000227e+03
1.039999999999999545e+03,1.264000000000000455e+03
8.410000000000000000e+02,1.095000000000000000e+03
1.061999999999999773e+03,1.854000000000000227e+03
9.059999999999997726e+02,1.210000000000000227e+03
1.657999999999999773e+03,2.186000000000000000e+03
9.519999999999997726e+02,1.752000000000000227e+03
1.225999999999999545e+03,1.690000000000000455e+03
1.268999999999999545e+03,1.435000000000000455e+03
9.229999999999997726e+02,1.577000000000000227e+03
8.209999999999997726e+02,1.115000000000000227e+03
6.459999999999997726e+02,1.290000000000000227e+03
1.218000000000000000e+03,2.626000000000000000e+03
6.249999999999997726e+02,1.679000000000000227e+03
1.239999999999999545e+03,1.896000000000000455e+03
1.018999999999999545e+03,1.285000000000000455e+03
7.289999999999998863e+02,8.710000000000001137e+02
7.749999999999998863e+02,1.161000000000000000e+03
9.379999999999996589e+02,1.562000000000000455e+03
1.210999999999999545e+03,1.493000000000000455e+03
9.279999999999998863e+02,1.008000000000000114e+03
1.237999999999999545e+03,1.466000000000000455e+03
1.554000000000000000e+03,1.810000000000000000e+03
1.946999999999999545e+03,2.409000000000000455e+03
8.840000000000000000e+02,1.052000000000000000e+03
1.258999999999999545e+03,1.657000000000000455e+03
1.391000000000000000e+03,1.745000000000000000e+03
1.527000000000000000e+03,1.609000000000000000e+03
1.342999999999999545e+03,1.793000000000000455e+03
1.269999999999999545e+03,1.866000000000000455e+03
1.543999999999999773e+03,1.820000000000000227e+03
1.474999999999999773e+03,1.889000000000000227e+03
2.097999999999999091e+03,3.086000000000000909e+03
1.119999999999999545e+03,1.380000000000000455e+03
8.119999999999998863e+02,7.880000000000001137e+02
1.194999999999999545e+03,1.509000000000000455e+03
1.004999999999999659e+03,1.699000000000000455e+03
1.227999999999999545e+03,1.688000000000000455e+03
1.008999999999999773e+03,1.295000000000000227e+03
1.351999999999999545e+03,2.012000000000000455e+03
1.530999999999999773e+03,1.833000000000000227e+03
8.249999999999997726e+02,1.291000000000000227e+03
1.474000000000000000e+03,1.890000000000000000e+03
1.721999999999999773e+03,2.374000000000000000e+03
2.023999999999999318e+03,2.600000000000000909e+03
2.160999999999999545e+03,2.739000000000000455e+03
1.105999999999999545e+03,1.394000000000000455e+03
2.243999999999999091e+03,3.232000000000000909e+03
9.339999999999996589e+02,1.370000000000000455e+03
1.279999999999999545e+03,1.636000000000000455e+03
9.639999999999997726e+02,1.152000000000000227e+03
6.859999999999997726e+02,1.078000000000000227e+03
1.443999999999999545e+03,1.692000000000000455e+03
1.153999999999999545e+03,1.762000000000000455e+03
9.799999999999997726e+02,1.324000000000000227e+03
1.619999999999999773e+03,2.476000000000000000e+03
3.779999999999998863e+02,5.220000000000001137e+02
1.441999999999999545e+03,2.158000000000000455e+03
8.939999999999997726e+02,1.222000000000000227e+03
1.028999999999999545e+03,1.887000000000000455e+03
1.581999999999999773e+03,2.018000000000000227e+03
2.015999999999999318e+03,2.340000000000000909e+03
1.730999999999999545e+03,2.625000000000000455e+03
1.896999999999999545e+03,3.003000000000000455e+03
1.091999999999999545e+03,1.408000000000000455e+03
7.689999999999997726e+02,1.167000000000000227e+03
1.379999999999999545e+03,1.756000000000000455e+03
1.250999999999999545e+03,2.113000000000000455e+03
1.722000000000000000e+03,2.374000000000000000e+03
8.549999999999997726e+02,9.090000000000002274e+02
1.485999999999999773e+03,1.650000000000000227e+03
1.360999999999999773e+03,1.775000000000000227e+03
1.110999999999999545e+03,1.805000000000000455e+03
1.877999999999999773e+03,2.218000000000000000e+03
7.369999999999998863e+02,8.630000000000001137e+02
1.584000000000000000e+03,2.260000000000000000e+03
1.524000000000000000e+03,1.180000000000000000e+03
1.358999999999999773e+03,2.005000000000000227e+03
1.324999999999999545e+03,1.811000000000000455e+03
1.177999999999999773e+03,2.186000000000000000e+03
9.409999999999997726e+02,1.763000000000000227e+03
1.428999999999999545e+03,1.707000000000000455e+03
1.020999999999999659e+03,1.683000000000000455e+03
9.259999999999997726e+02,1.778000000000000227e+03
9.919999999999996589e+02,1.312000000000000455e+03
1.130999999999999545e+03,9.850000000000004547e+02
9.919999999999997726e+02,1.124000000000000227e+03
9.199999999999997726e+02,1.996000000000000227e+03
1.066999999999999773e+03,1.637000000000000227e+03
1.168999999999999545e+03,1.331000000000000455e+03
1.548999999999999773e+03,2.051000000000000000e+03
8.789999999999997726e+02,1.237000000000000227e+03
7.559999999999998863e+02,1.008000000000000114e+03
9.799999999999995453e+02,1.324000000000000455e+03
9.449999999999997726e+02,1.359000000000000227e+03
1.161999999999999545e+03,1.338000000000000455e+03
1.425999999999999773e+03,1.710000000000000227e+03
1.403999999999999773e+03,1.732000000000000227e+03
8.539999999999997726e+02,1.262000000000000227e+03
9.559999999999997726e+02,1.160000000000000227e+03
1.242999999999999545e+03,1.257000000000000455e+03
1.161999999999999545e+03,1.338000000000000455e+03
9.399999999999996589e+02,1.364000000000000455e+03
8.519999999999997726e+02,1.264000000000000227e+03
1.865999999999999545e+03,2.758000000000000455e+03
7.840000000000000000e+02,9.800000000000000000e+02
