Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
3.293612318654772775e+00,1.324255510120450507e+00,8.336014076423974473e+01,6.294868333729458243e+01,1.000000000000000000e+01,8.180000000000000000e+02,5.120000000000000000e+02,1.991498949785516226e-01,1.420871068940451529e-04,1.923560481566514226e-05,2.532328378229516640e-03,1.279854569715737407e-08,-4.658919785565202711e-06,-5.587519553531620709e-07
3.128745549044587015e-01,1.301492182275252762e+00,1.086135473619121257e+02,1.413596827807115233e+02,9.000000000000000000e+00,1.508000000000000000e+03,1.260000000000000000e+02,1.726772075105006410e-01,4.061658053370869464e-04,2.858014848688199517e-06,7.736642683599541295e-04,-1.770002792591807028e-08,2.052825060632010159e-06,-3.178369683371161142e-08
2.133401970469886777e+00,1.325847838257809608e+00,9.526583478671672367e+01,7.185276623590375777e+01,1.200000000000000000e+01,9.430000000000000000e+02,4.610000000000000000e+02,1.826665520911328333e-01,3.715948529873386872e-04,4.533877693016343598e-04,5.430293621347727926e-04,1.725734509883649844e-07,-9.908099269282661509e-06,-2.069273431072408405e-07
2.896740536199080007e-01,1.579134210272335359e+00,1.112970100701570288e+02,7.047976628342621552e+01,7.000000000000000000e+00,1.056000000000000000e+03,1.650000000000000000e+02,1.789937004354517081e-01,2.022947012759261295e-03,1.374739728947303437e-04,9.456625589824982012e-04,1.084429458965581954e-07,3.957953636616522928e-05,-3.232642766683303274e-07
7.493124799113239476e+00,3.327389709829269293e+00,6.198919998036315064e+02,2.062622261352090845e+03,6.500000000000000000e+01,1.179800000000000000e+04,5.904000000000000000e+03,5.032993628143006548e-01,6.476922769790130485e-02,4.149402809871252651e-02,1.350959970848981118e-01,8.390086581713146127e-03,3.402573669872175494e-02,-5.649359138777856892e-03
5.001947684116722082e-01,1.739372076602042405e+00,1.127847843438138682e+02,1.961747045532130471e+02,1.100000000000000000e+01,1.754000000000000000e+03,3.040000000000000000e+02,2.228031808517046963e-01,2.461756102210133426e-03,9.985251000633732759e-04,6.818028822091714430e-03,1.153473472599631439e-05,2.155473410496086539e-04,-1.354333915461978411e-05
3.682054868509382350e-01,1.211580441800377272e+00,8.044000967390236667e+01,9.745954245913326019e+01,7.000000000000000000e+00,1.059000000000000000e+03,1.310000000000000000e+02,1.690320346911364513e-01,2.219364145586610784e-04,3.562023556206817763e-05,1.368603251807891299e-04,2.305949850414160893e-09,-1.742526265436478967e-06,9.273345619292724557e-09
9.095114725248043541e-01,1.394854583161057482e+00,1.024602683547171296e+02,1.429171749064890378e+02,1.300000000000000000e+01,1.456000000000000000e+03,4.790000000000000000e+02,1.906632842523713622e-01,2.500063837354528449e-03,8.060088432989234069e-04,3.477725602330279924e-03,5.208167305121680353e-06,1.738875817195203294e-04,-2.603272265610521656e-06
1.916051465256687569e+00,1.414527113894407995e+00,1.396375244260877935e+02,1.975210644177938661e+02,1.800000000000000000e+01,1.902000000000000000e+03,5.460000000000000000e+02,1.796199921558715440e-01,9.578670688568368405e-04,1.367717215391425030e-04,2.531863812790048130e-04,-2.381295499151030633e-08,7.210388894590519374e-07,-4.065416360493880475e-08
1.449181809913091312e+00,1.227401489207536001e+00,7.939578329331553164e+01,6.468607378387402207e+01,9.000000000000000000e+00,8.580000000000000000e+02,3.660000000000000000e+02,1.824231289853081306e-01,5.790097073800795462e-04,6.421701527895807508e-04,1.903126871210666753e-03,1.936221386488755436e-06,3.436144612205537945e-05,8.230881414302210307e-07
1.143409943927255146e+00,1.371606278885033170e+00,2.390855667940164437e+02,3.279312646054599441e+02,1.900000000000000000e+01,3.430000000000000000e+03,7.180000000000000000e+02,1.716587727089675108e-01,9.564766819087756975e-04,1.405959697064295528e-04,8.767879404863835073e-04,2.749600772736067660e-07,2.369175459259011466e-05,1.384335010726084555e-07
1.654394843606640686e+00,1.400530609573551688e+00,3.085825371420359602e+02,2.203325904001458468e+02,1.600000000000000000e+01,3.177000000000000000e+03,6.180000000000000000e+02,2.112504705307975961e-01,3.258704391891124874e-03,8.621307623761622144e-04,6.783215032495031396e-03,1.249927178285507663e-05,3.594099982020063913e-04,1.062295915548502286e-05
3.779929898432514701e-01,1.113163166929648007e+00,1.046818895077735903e+02,9.404002271878034946e+01,6.000000000000000000e+00,1.216000000000000000e+03,2.270000000000000000e+02,1.643740148859931527e-01,9.569469633816171520e-05,7.902257425230722204e-05,1.353135751950036031e-04,1.384473940330706035e-08,1.272568759340986842e-06,-2.026407306985009433e-09
1.835759643973601474e+00,1.950163720601671535e+00,9.533032651314250927e+01,1.859097442390421691e+02,1.500000000000000000e+01,1.598000000000000000e+03,6.980000000000000000e+02,1.775659573385906798e-01,3.122692174135203915e-03,7.352283340711116368e-05,1.639256914223250340e-04,5.836006439780703516e-09,-4.090723838982747039e-06,-1.702367470457501484e-08
2.458139694209665882e-01,1.267506819873565282e+00,1.250839565449355746e+02,9.868503631200405835e+01,8.000000000000000000e+00,1.326000000000000000e+03,7.400000000000000000e+01,1.745340879584409421e-01,4.632122117797673978e-04,4.732836872505654182e-05,7.156293768913907791e-04,3.997677345616912887e-08,7.675954967700003784e-06,1.254883475156020376e-07
