white,black
7.714999999999999091e+03,9.709000000000000000e+03
5.816999999999999091e+03,7.639000000000000909e+03
6.280999999999998181e+03,1.331900000000000182e+04
9.367999999999998181e+03,1.194800000000000182e+04
2.809999999999999091e+03,1.256600000000000000e+04
7.888999999999998181e+03,1.461100000000000182e+04
5.510999999999999091e+03,1.639300000000000000e+04
8.929000000000000000e+03,1.067100000000000000e+04
2.695999999999999091e+03,1.122800000000000000e+04
5.977999999999998181e+03,1.962200000000000000e+04
3.922999999999998636e+03,1.297700000000000182e+04
6.921999999999999091e+03,1.157400000000000000e+04
6.280000000000000000e+03,1.114400000000000000e+04
6.726000000000000000e+03,1.017400000000000000e+04
4.270999999999999091e+03,2.069300000000000000e+04
5.308999999999998181e+03,1.719100000000000000e+04
6.770999999999998181e+03,2.350500000000000000e+04
2.790999999999999091e+03,1.113300000000000000e+04
1.283000000000000000e+03,6.817000000000000000e+03
5.915000000000000000e+03,1.204100000000000000e+04
9.149000000000000000e+03,1.335100000000000000e+04
7.219000000000000000e+03,1.294500000000000000e+04
9.492000000000000000e+03,2.290800000000000000e+04
5.752000000000000000e+03,9.624000000000000000e+03
5.735999999999999091e+03,1.116400000000000000e+04
9.076000000000000000e+03,1.108800000000000000e+04
2.958999999999999091e+03,1.835700000000000000e+04
8.923000000000000000e+03,1.357700000000000000e+04
4.919999999999998181e+03,1.468000000000000182e+04
6.697999999999998181e+03,1.234600000000000182e+04
3.345999999999998636e+03,1.515000000000000182e+04
5.654999999999999091e+03,8.745000000000000000e+03
2.668999999999999091e+03,1.320700000000000000e+04
7.607000000000000000e+03,1.199300000000000000e+04
5.716999999999999091e+03,1.332700000000000000e+04
5.359999999999998181e+03,1.102400000000000182e+04
4.282999999999998181e+03,1.261700000000000182e+04
8.045000000000000000e+03,1.269100000000000000e+04
4.790999999999999091e+03,2.479300000000000000e+04
6.188000000000000000e+03,1.512800000000000000e+04
4.221999999999999091e+03,1.651400000000000000e+04
4.082999999999999091e+03,1.179300000000000000e+04
8.667000000000000000e+03,1.149700000000000000e+04
2.355999999999999091e+03,1.110000000000000000e+04
4.496000000000000000e+03,1.138000000000000000e+04
6.807999999999999091e+03,1.392800000000000000e+04
4.022999999999998636e+03,2.420100000000000000e+04
9.162000000000000000e+03,1.043800000000000000e+04
7.162999999999998181e+03,1.594100000000000182e+04
5.774000000000000000e+03,1.919000000000000000e+04
6.924999999999998181e+03,1.617900000000000182e+04
1.075200000000000000e+04,1.680400000000000000e+04
6.980000000000000000e+03,9.920000000000000000e+03
1.975000000000000000e+03,1.056900000000000000e+04
4.683999999999998181e+03,1.436000000000000182e+04
5.824999999999998181e+03,1.491100000000000182e+04
3.487999999999999091e+03,8.176000000000000909e+03
5.925000000000000000e+03,7.999000000000000000e+03
8.683000000000000000e+03,1.205300000000000000e+04
6.367000000000000000e+03,8.517000000000000000e+03
5.769999999999999091e+03,1.165400000000000000e+04
3.001999999999999091e+03,1.092200000000000000e+04
3.941999999999999091e+03,1.244200000000000000e+04
5.813999999999998181e+03,1.492200000000000182e+04
4.735999999999999091e+03,1.268800000000000000e+04
8.284999999999998181e+03,1.131500000000000182e+04
2.180999999999999091e+03,1.369500000000000000e+04
8.308000000000000000e+03,1.242800000000000000e+04
3.041999999999999091e+03,1.655800000000000000e+04
5.404999999999998181e+03,1.831100000000000000e+04
2.744999999999999091e+03,1.213900000000000000e+04
1.026999999999999773e+03,3.597000000000000000e+03
4.729999999999998181e+03,2.151400000000000000e+04
9.569000000000000000e+03,1.174700000000000000e+04
8.514000000000000000e+03,1.645000000000000000e+04
1.890999999999999545e+03,7.713000000000000000e+03
4.966999999999998181e+03,2.743300000000000000e+04
1.249999999999999545e+03,3.106000000000000455e+03
5.369999999999998181e+03,1.713000000000000000e+04
1.205300000000000000e+04,1.550300000000000000e+04
4.239999999999998181e+03,1.947600000000000000e+04
5.619999999999999091e+03,7.836000000000000909e+03
3.454999999999998636e+03,1.504100000000000182e+04
2.951999999999999091e+03,1.664800000000000000e+04
2.332999999999999545e+03,1.783100000000000000e+04
2.600999999999999545e+03,2.050300000000000000e+04
6.845999999999998181e+03,2.413000000000000000e+04
3.971999999999998636e+03,1.974400000000000000e+04
3.370999999999999091e+03,1.794500000000000000e+04
2.725999999999999091e+03,1.917800000000000000e+04
8.847000000000000000e+03,1.305700000000000000e+04
2.750999999999999091e+03,1.312500000000000000e+04
6.545000000000000000e+03,9.331000000000000000e+03
6.453000000000000000e+03,1.486300000000000000e+04
5.768000000000000000e+03,8.632000000000000000e+03
2.936999999999999091e+03,2.330700000000000000e+04
7.106999999999998181e+03,8.269000000000001819e+03
6.989000000000000000e+03,9.395000000000000000e+03
6.187000000000000000e+03,1.285700000000000000e+04
3.409999999999999545e+03,1.790600000000000000e+04
1.466900000000000000e+04,1.630700000000000000e+04
1.123600000000000000e+04,2.188800000000000000e+04
3.087999999999999091e+03,2.251200000000000000e+04
4.444000000000000000e+03,1.093200000000000000e+04
9.300000000000000000e+03,1.630000000000000000e+04
5.769999999999998181e+03,2.047400000000000000e+04
5.456999999999999091e+03,1.249900000000000000e+04
6.911999999999999091e+03,9.988000000000000000e+03
1.000100000000000000e+04,1.249900000000000000e+04
6.500000000000000000e+03,9.884000000000000000e+03
7.295000000000000000e+03,1.894900000000000000e+04
4.831999999999998181e+03,9.092000000000001819e+03
5.056999999999999091e+03,1.625900000000000000e+04
4.894999999999998181e+03,1.048100000000000182e+04
9.624000000000000000e+03,1.111200000000000000e+04
1.539700000000000000e+04,1.700300000000000000e+04
4.583999999999999091e+03,1.673200000000000000e+04
4.401999999999998181e+03,1.750200000000000000e+04
9.852000000000000000e+03,1.448400000000000000e+04
3.223999999999999091e+03,1.316000000000000000e+04
1.094900000000000000e+04,1.338700000000000000e+04
1.209800000000000000e+04,1.545800000000000000e+04
4.590999999999998181e+03,1.974500000000000000e+04
1.067000000000000000e+04,1.429400000000000000e+04
6.432000000000000000e+03,9.952000000000000000e+03
1.076499999999999818e+04,1.613100000000000182e+04
1.602000000000000000e+04,2.008000000000000000e+04
1.446100000000000000e+04,2.013500000000000000e+04
4.390000000000000000e+03,7.274000000000000000e+03
2.033999999999999091e+03,1.486600000000000000e+04
9.054000000000000000e+03,1.850200000000000000e+04
2.149999999999999091e+03,1.527400000000000000e+04
5.911000000000000000e+03,1.313300000000000000e+04
3.949999999999998636e+03,1.678600000000000000e+04
7.023999999999999091e+03,1.093200000000000000e+04
1.023900000000000000e+04,1.107700000000000000e+04
1.258700000000000000e+04,1.981300000000000000e+04
6.560999999999999091e+03,8.323000000000000000e+03
4.690999999999999091e+03,1.326500000000000000e+04
5.662999999999999091e+03,7.793000000000000909e+03
5.716999999999998181e+03,1.015900000000000182e+04
3.547999999999998636e+03,2.467600000000000000e+04
6.663999999999998181e+03,1.238000000000000182e+04
1.003000000000000000e+04,1.557000000000000000e+04
4.709999999999999091e+03,1.489000000000000000e+04
7.417000000000000000e+03,1.053900000000000000e+04
1.020300000000000000e+04,1.290100000000000000e+04
7.513999999999998181e+03,2.561000000000000000e+04
9.254000000000000000e+03,1.206200000000000000e+04
7.038999999999999091e+03,1.038500000000000000e+04
5.260999999999998181e+03,2.033900000000000000e+04
3.181999999999999091e+03,2.371400000000000000e+04
8.487000000000000000e+03,8.937000000000000000e+03
1.276599999999999818e+04,1.613400000000000182e+04
8.620000000000000000e+03,1.388000000000000000e+04
1.132600000000000000e+04,1.301000000000000000e+04
1.042900000000000000e+04,1.267500000000000000e+04
1.346799999999999818e+04,1.543200000000000182e+04
4.278999999999999091e+03,1.943700000000000000e+04
3.972999999999999091e+03,1.734300000000000000e+04
7.567000000000000000e+03,1.147700000000000000e+04
6.684999999999999091e+03,7.715000000000000909e+03
3.686999999999999545e+03,7.977000000000000000e+03
6.520000000000000000e+03,1.658400000000000000e+04
3.240999999999999091e+03,1.418300000000000000e+04
3.009999999999998636e+03,1.715400000000000000e+04
1.036900000000000000e+04,1.213100000000000000e+04
6.517000000000000000e+03,9.359000000000000000e+03
8.211999999999998181e+03,1.083200000000000182e+04
4.406000000000000000e+03,1.147000000000000000e+04
3.351000000000000000e+03,1.252500000000000000e+04
7.391999999999999091e+03,8.992000000000000000e+03
7.819000000000000000e+03,9.605000000000000000e+03
8.727000000000000000e+03,1.031700000000000000e+04
6.054999999999998181e+03,1.584900000000000182e+04
6.078999999999998181e+03,1.408500000000000182e+04
8.752000000000000000e+03,6.624000000000000000e+03
6.939000000000000000e+03,1.210500000000000000e+04
4.483999999999998181e+03,2.441600000000000000e+04
3.629999999999999091e+03,1.887000000000000000e+04
3.014999999999999091e+03,2.070100000000000000e+04
1.038599999999999818e+04,1.521400000000000182e+04
8.236000000000000000e+03,1.800800000000000000e+04
1.216500000000000000e+04,1.539100000000000000e+04
3.648999999999999091e+03,1.766700000000000000e+04
