Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
2.456370367315380498e+00,1.094915039728323602e+00,7.219665604687656923e+02,6.593813531394216625e+02,3.200000000000000000e+01,7.715000000000000000e+03,1.485000000000000000e+03,1.867608955988386277e-01,2.275021198058161786e-04,1.881629468784605595e-04,1.369640380031258943e-03,2.306642498799142203e-07,2.060608380480236727e-05,-6.559317406096203952e-07
3.985618805478363225e+00,1.478049195983426545e+00,6.587012085700441730e+02,4.456558079122490881e+02,3.700000000000000000e+01,5.887000000000000000e+03,2.940000000000000000e+03,2.072325038960416976e-01,4.387737950768164997e-04,8.704390761240958290e-04,2.312264200966665691e-03,2.297420544183256639e-06,-3.182583453774867431e-05,2.341540542822274011e-06
1.224008964085672879e+01,1.528764986881774313e+00,8.752527782190599055e+02,5.725227786674491881e+02,6.200000000000000000e+01,6.295000000000000000e+03,5.219000000000000000e+03,2.648095343871094687e-01,5.188669354232094098e-03,3.758570722143957077e-04,1.251492548054524215e-02,2.708963238691312710e-05,8.890456397730935349e-04,1.697179542841558084e-06
9.374552472387751578e-01,1.558856302302931374e+00,6.379550657030672483e+02,9.944802747573069155e+02,2.500000000000000000e+01,9.413000000000000000e+03,8.170000000000000000e+02,1.866805440313950015e-01,1.337991067741883247e-03,2.351274146227178463e-04,1.663442502579174677e-03,-3.962150613833937017e-08,1.903935884954399791e-05,-1.039556532125026979e-06
4.448775488243056131e+00,3.085867559003363958e+00,2.316724554269812870e+02,7.149105145167743558e+02,3.000000000000000000e+01,2.862000000000000000e+03,3.058000000000000000e+03,6.711542362370819248e-01,2.129102613303783809e-01,1.567137288265440798e-01,3.691641683860009682e-01,8.600704172650726342e-02,1.703403748644821969e-01,-2.207112695127865301e-02
4.299716753378796774e+00,1.532069296177634543e+00,9.304903600546809912e+02,6.073422151179224784e+02,4.000000000000000000e+01,7.916000000000000000e+03,2.570000000000000000e+03,1.949815695773055579e-01,1.666525081668459836e-03,7.454412957438950722e-06,8.824648185837283211e-05,-1.123083200650964362e-10,3.599945134403689202e-06,2.260567666678338732e-09
8.296561488173811227e+00,1.664965185261696456e+00,7.602918859671458449e+02,1.265859520772253518e+03,5.900000000000000000e+01,5.511000000000000000e+03,4.569000000000000000e+03,3.872750487303204814e-01,9.075683792442891876e-03,5.547904199836238039e-03,1.379907569723850223e-02,4.636363494166648771e-05,1.141767146568338324e-03,-1.114799333557246524e-04
1.579615929474220026e+00,1.567317833535019966e+00,5.876502430685133049e+02,9.210347058424700890e+02,3.000000000000000000e+01,8.929000000000000000e+03,1.883000000000000000e+03,1.699023361681133992e-01,1.326224401328110047e-03,3.632752901922226083e-05,8.576319746543754115e-05,-3.907542740393204581e-09,-3.023736080785016547e-06,-2.765340202050360241e-09
7.232370165261806427e+00,2.417923828309813672e+00,5.661812109510360642e+02,2.341600691973866901e+02,3.300000000000000000e+01,2.696000000000000000e+03,3.002000000000000000e+03,1.219116712314730844e+00,6.664105266467372779e-01,3.872656270714882054e-01,1.808565733772637962e+00,1.511540368922829503e+00,1.471943923948462851e+00,-7.858660078660384407e-02
1.260073327932256859e+01,1.623762948478888024e+00,6.599163867998975093e+02,1.071547777979735883e+03,6.400000000000000000e+01,6.090000000000000000e+03,4.557000000000000000e+03,3.275144721022387184e-01,9.620596998999413063e-03,3.315419936324694866e-03,1.815619412382676184e-02,1.322752689574684148e-04,1.776479066231453560e-03,4.844080976758093499e-05
2.970647641068055123e+00,1.662340074960312997e+00,7.598638267355270273e+02,4.571049198544215528e+02,2.800000000000000000e+01,4.012000000000000000e+03,3.209000000000000000e+03,3.190246852711409176e-01,5.199246193644209424e-03,2.925916461082253301e-03,4.083406188863599601e-03,5.756980927539498213e-06,2.936336750405795447e-04,1.288703506067353534e-05
5.123834375280662989e+00,1.123359255557337066e+00,7.290086241270728351e+02,6.489541262250843374e+02,5.200000000000000000e+01,6.951000000000000000e+03,2.721000000000000000e+03,2.081230830218958328e-01,2.785219477942761125e-04,4.068604425485531327e-04,2.460508074723331828e-03,2.047998812741673113e-06,3.409930165995619006e-05,-1.366147827284909160e-06
1.914541825710003309e+00,2.014053180039579782e+00,7.660608817005497713e+02,3.803578223716492630e+02,3.300000000000000000e+01,6.322000000000000000e+03,2.061000000000000000e+03,1.822388709887119984e-01,3.622850907601587143e-03,8.538937782542904307e-04,1.938408787249337468e-04,-1.349045745078121396e-08,9.088276181865747902e-07,7.769997037637489264e-08
4.395316060808511338e+00,1.114299271317779505e+00,6.600772068639073495e+02,5.923697734122132488e+02,4.900000000000000000e+01,6.759000000000000000e+03,1.977000000000000000e+03,1.949809715490776751e-01,4.762719827060255252e-07,2.393111210714590509e-05,1.361072599768775940e-03,-2.419817998281513798e-07,-2.279675026935877014e-07,-4.224937693061524425e-08
1.310816973445660949e+01,2.338576966375426114e+00,6.827058151747660304e+02,1.596560094178266581e+03,6.100000000000000000e+01,4.304000000000000000e+03,7.596000000000000000e+03,7.393764215223708192e-01,2.655637796481244081e-02,1.814303963189483823e-02,2.272295250664508048e-01,-5.225794442231307749e-03,3.030939146404484225e-02,-1.362189810334884371e-02
1.206570055155967225e+01,1.165927887189661449e+00,1.222803208246194799e+03,1.048781165354595714e+03,6.600000000000000000e+01,5.366000000000000000e+03,5.441000000000000000e+03,4.243344893406083562e-01,1.083597086789537308e-03,5.910578281462455655e-04,3.681578922326069489e-04,4.466859656413006211e-08,5.541159338219034332e-06,1.658270915405742886e-07
9.963533560142693091e+00,1.998907162493156697e+00,5.622572850274423217e+02,1.123900114205310729e+03,6.200000000000000000e+01,6.819000000000000000e+03,6.397000000000000000e+03,2.634624286089390921e-01,4.387270687542768784e-03,2.313235435108867630e-03,1.976621948755472209e-03,-3.043711421295029201e-06,-1.066884440078129848e-05,-2.932629030613561178e-06
9.394076322132804080e+00,6.365602733097121657e+00,9.095456996138789236e+02,1.428844585108672618e+02,3.500000000000000000e+01,2.791000000000000000e+03,2.617000000000000000e+03,7.415168822022470962e-01,2.322066180243814171e-01,3.741578872844169013e-01,5.349539552833755263e-01,2.184285340476463944e-01,2.542660805325940299e-01,9.782188471069983016e-02
5.288459496409728899e+00,5.838761811830284643e+00,5.617456170103139357e+01,3.279898856562861624e+02,2.500000000000000000e+01,1.283000000000000000e+03,1.417000000000000000e+03,7.078404577580312829e-01,1.778842243906491039e-01,2.318113308144467144e-01,4.343266159618898170e-01,1.227715023727286026e-01,1.828534413836202244e-01,-6.260782254968354221e-02
4.689010813357714191e+00,1.388335472382849156e+00,5.016691211227574740e+02,6.964850362538522859e+02,5.000000000000000000e+01,5.988000000000000000e+03,3.591000000000000000e+03,3.262768776554678118e-01,1.126172859895721926e-02,3.023982240369811874e-03,3.135605952798084517e-02,3.053302676731362931e-04,3.320527880657632956e-03,-9.220075210209313383e-07
2.790132311586264180e+00,1.478406516791678005e+00,6.449364467949849313e+02,9.534782458581750006e+02,5.000000000000000000e+01,9.234000000000000000e+03,2.215000000000000000e+03,1.904206891262563706e-01,3.457076667990359648e-04,5.889529287335257485e-05,1.966128130012954542e-03,6.168285492325063907e-07,-2.419399490364641973e-05,-2.591318107336249430e-07
2.788437026793804119e+00,1.574878068538197562e+00,4.923104640786617665e+02,7.753289527893465447e+02,4.200000000000000000e+01,7.278000000000000000e+03,2.507000000000000000e+03,1.758281133449634825e-01,1.591731173420901429e-03,9.642661735490462550e-05,1.187449321115737171e-04,1.776472019948800902e-09,3.891780511165192474e-06,-1.258156125880471529e-08
