white,black
1.236499999999999818e+04,1.721900000000000000e+04
1.039800000000000000e+04,1.393800000000000000e+04
1.132000000000000000e+04,1.623600000000000000e+04
2.104800000000000000e+04,2.389600000000000000e+04
2.234200000000000000e+04,2.694200000000000000e+04
2.248700000000000000e+04,2.591300000000000000e+04
1.627400000000000000e+04,1.982600000000000000e+04
3.785600000000000000e+04,6.074000000000000000e+04
1.819700000000000000e+04,1.565900000000000000e+04
4.296300000000000000e+04,5.190100000000000000e+04
3.385900000000000000e+04,4.566500000000000000e+04
2.833700000000000000e+04,3.316700000000000000e+04
3.232100000000000000e+04,4.275500000000000000e+04
2.873100000000000000e+04,3.277300000000000000e+04
3.366300000000000000e+04,4.251300000000000000e+04
3.455099999999999272e+04,5.306500000000000728e+04
4.148000000000000000e+04,4.732400000000000000e+04
4.066900000000000000e+04,6.430700000000000000e+04
3.910800000000000000e+04,5.330800000000000000e+04
2.780100000000000000e+04,3.570300000000000000e+04
5.169100000000000000e+04,7.935300000000000000e+04
4.425300000000000000e+04,5.943100000000000000e+04
4.753600000000000000e+04,6.268800000000000000e+04
3.857900000000000000e+04,4.668500000000000000e+04
3.469900000000000000e+04,2.981700000000000000e+04
3.661200000000000000e+04,5.100400000000000000e+04
4.032700000000000000e+04,6.594900000000000000e+04
3.268000000000000000e+04,4.022000000000000000e+04
1.442500000000000000e+04,1.725900000000000000e+04
1.425700000000000000e+04,1.814300000000000000e+04
9.310000000000000000e+03,1.440600000000000000e+04
8.943000000000000000e+03,1.065700000000000000e+04
1.373000000000000000e+04,1.867000000000000000e+04
1.294799999999999818e+04,1.595200000000000182e+04
1.439900000000000000e+04,1.872500000000000000e+04
1.153500000000000000e+04,1.096500000000000000e+04
1.400500000000000000e+04,1.911900000000000000e+04
1.732700000000000000e+04,2.267300000000000000e+04
2.675100000000000000e+04,3.278500000000000000e+04
1.576900000000000000e+04,1.245500000000000000e+04
3.428300000000000000e+04,4.300100000000000000e+04
1.607300000000000000e+04,1.632700000000000000e+04
3.394300000000000000e+04,5.726100000000000000e+04
1.717900000000000000e+04,4.632500000000000000e+04
4.465800000000000000e+04,5.393800000000000000e+04
2.406800000000000000e+04,3.843200000000000000e+04
1.314700000000000000e+04,1.309700000000000000e+04
4.375100000000000000e+04,5.610500000000000000e+04
3.871500000000000000e+04,5.370100000000000000e+04
3.018800000000000000e+04,2.837600000000000000e+04
3.106400000000000000e+04,3.550000000000000000e+04
3.392900000000000000e+04,5.250700000000000000e+04
3.593400000000000000e+04,5.648200000000000000e+04
