Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
2.626770635336531878e+00,1.219004075967641709e+00,9.356473448820433987e+02,1.140557927079512638e+03,4.300000000000000000e+01,1.237000000000000000e+04,3.124000000000000000e+03,1.687352642323597662e-01,3.052029141982343357e-04,7.460821045526469389e-05,1.469748395022172467e-04,6.634516960960800123e-09,2.458286480359674239e-06,1.388726791319998434e-08
1.424062285260874638e+00,1.749904730704013867e+00,1.157145131983348392e+03,6.612617885305166965e+02,3.600000000000000000e+01,1.047700000000000000e+04,1.334000000000000000e+03,2.334983769083313065e-01,6.287891524941673776e-03,2.446511409756282462e-03,1.022832649226196149e-02,3.527665332814939187e-05,7.312851819108617292e-04,3.706083634182089916e-05
2.547631978634065320e+00,1.342450694041603887e+00,7.964149746641795673e+02,1.069147835483054223e+03,4.400000000000000000e+01,1.132000000000000000e+04,3.352000000000000000e+03,1.910435165006579283e-01,2.437186919682604851e-03,3.761700272259755414e-04,3.978740987159700912e-03,4.866578663975728082e-06,1.944676996179209489e-04,-9.733535485444875189e-08
2.927821834149652247e+00,1.323704250937386639e+00,1.500970382632751125e+03,1.986840876022088423e+03,5.900000000000000000e+01,2.104800000000000000e+04,4.008000000000000000e+03,1.775121291734128581e-01,8.267734893390081639e-04,6.145421621396362838e-05,1.434341770660781286e-03,2.263881653098571111e-07,2.964092021250165811e-05,-3.606869613119459521e-07
3.336018495412740759e+00,1.314048190091233081e+00,1.600406594194555510e+03,2.103011388511430141e+03,5.800000000000000000e+01,2.239800000000000000e+04,5.812000000000000000e+03,1.703158462712691945e-01,5.154448288549029998e-04,5.052110101793538317e-05,5.377720042427552903e-04,1.039756002808260666e-08,1.881357142706053911e-06,-8.802887550317729867e-08
1.626739468587513171e+00,1.128640612010062494e+00,1.744983165156000723e+03,1.969458867468924382e+03,4.700000000000000000e+01,2.248700000000000000e+04,4.057000000000000000e+03,1.655122821966215074e-01,9.796425100949709519e-05,1.443756542842050748e-04,5.903374790360399981e-05,1.168835663422472161e-09,6.048351765923536245e-08,5.323200355265368651e-09
2.220763031278227828e+00,1.645832386154656435e+00,1.059966452993279063e+03,1.744527116573815874e+03,5.000000000000000000e+01,1.637500000000000000e+04,5.342000000000000000e+03,2.088047539303773403e-01,4.015408258119874257e-03,6.874688224358906563e-05,5.377892037664686042e-03,9.410517947031517176e-07,3.104849755625570381e-04,-3.131639729233474705e-06
1.013724830998316762e+01,1.863452669526037830e+00,2.404078544142890223e+03,4.479886580833339394e+03,1.390000000000000000e+02,3.785600000000000000e+04,1.163400000000000000e+04,2.040602563781179490e-01,4.422046816615010645e-03,6.188608663554111787e-04,3.670900364366761967e-03,4.851611503494533586e-06,1.950000016996750380e-04,-2.659927192284083099e-06
2.112136346304410051e+00,1.173347125472784747e+00,1.597856425190901746e+03,1.361793445862891303e+03,4.800000000000000000e+01,1.825100000000000000e+04,4.248000000000000000e+03,1.621915661878524650e-01,1.663997581049929159e-04,1.407078924265372877e-05,4.623396023286927475e-06,-3.458323528181589642e-11,-5.962568454490214401e-08,1.394984929224978091e-11
3.838599984774350826e+00,1.320867203746895147e+00,4.075959205741844016e+03,3.085820583764664661e+03,1.050000000000000000e+02,4.310700000000000000e+04,5.634000000000000000e+03,1.722581450935293246e-01,7.816356973687509958e-04,3.302298984379752739e-05,7.662993871176179261e-04,1.147898939616003538e-07,1.893074464368959506e-05,4.102488616454315306e-08
